phenotype	phenotype.order.num	var.label	sex.group	count_p_lower_threshold1.si	count_p_lower_threshold2.si	count_p_lower_threshold3.si	count_p_lower_threshold4.si	count_p_lower_threshold5.si	count_p_lower_threshold1.ai	count_p_lower_threshold2.ai	count_p_lower_threshold3.ai	count_p_lower_threshold4.ai	count_p_lower_threshold5.ai	count_p_lower_threshold1.cpd	count_p_lower_threshold2.cpd	count_p_lower_threshold3.cpd	count_p_lower_threshold4.cpd	count_p_lower_threshold5.cpd	count_p_lower_threshold1.sc	count_p_lower_threshold2.sc	count_p_lower_threshold3.sc	count_p_lower_threshold4.sc	count_p_lower_threshold5.sc	count_p_lower_threshold1.dpw	count_p_lower_threshold2.dpw	count_p_lower_threshold3.dpw	count_p_lower_threshold4.dpw	count_p_lower_threshold5.dpw
GSCAN_Q2_recode	1	Smoking initiation	allSexes	8	8	8	8	8	8	6	6	6	6	8	2	0	0	0	8	0	0	0	0	8	7	6	5	0
GSCAN_Q2_recode	1	Smoking initiation	females	8	8	8	8	7	8	7	6	5	2	8	0	0	0	0	8	0	0	0	0	8	7	0	0	0
GSCAN_Q2_recode	1	Smoking initiation	males	8	8	7	7	7	8	6	5	4	4	8	5	0	0	0	8	0	0	0	0	8	5	3	1	0
GSCAN_Q4	2	Age at starting regular smoking	allSexes	8	6	0	0	0	8	4	0	0	0	8	0	0	0	0	8	0	0	0	0	8	3	0	0	0
GSCAN_Q4	2	Age at starting regular smoking	females	8	1	0	0	0	8	2	0	0	0	8	0	0	0	0	8	0	0	0	0	8	2	0	0	0
GSCAN_Q4	2	Age at starting regular smoking	males	8	1	0	0	0	8	1	0	0	0	8	0	0	0	0	8	1	0	0	0	8	0	0	0	0
GSCAN_Q1	3	Cigarettes per day	allSexes	8	7	7	6	3	8	5	3	0	0	8	8	8	8	6	8	1	0	0	0	8	0	0	0	0
GSCAN_Q1	3	Cigarettes per day	females	8	7	6	6	2	8	6	4	1	0	8	8	8	6	5	8	3	0	0	0	8	0	0	0	0
GSCAN_Q1	3	Cigarettes per day	males	8	4	0	0	0	8	1	0	0	0	8	7	6	3	0	8	0	0	0	0	8	0	0	0	0
GSCAN_Q3_recode	4	Smoking cessation	allSexes	8	7	5	2	1	8	0	0	0	0	8	4	0	0	0	8	2	0	0	0	8	0	0	0	0
GSCAN_Q3_recode	4	Smoking cessation	females	8	7	1	0	0	8	2	0	0	0	8	0	0	0	0	8	0	0	0	0	8	0	0	0	0
GSCAN_Q3_recode	4	Smoking cessation	males	8	3	1	1	0	8	0	0	0	0	8	4	0	0	0	8	2	0	0	0	8	0	0	0	0
GSCAN_Q6_recode	5	Drinkers versus non-drinkers	allSexes	8	4	0	0	0	8	2	0	0	0	8	4	0	0	0	8	0	0	0	0	8	7	6	6	6
GSCAN_Q6_recode	5	Drinkers versus non-drinkers	females	8	0	0	0	0	8	1	0	0	0	8	6	2	0	0	8	6	0	0	0	8	7	6	6	1
GSCAN_Q6_recode	5	Drinkers versus non-drinkers	males	8	3	0	0	0	8	0	0	0	0	8	0	0	0	0	8	0	0	0	0	8	6	3	3	0
GSCAN_Q5_Drinks_per_week	6	Drinks per week in active drinkers	allSexes	8	8	7	7	7	8	8	3	1	0	8	0	0	0	0	8	1	0	0	0	8	8	8	8	7
