target_pheno_group	phenotype	var.label	name_fixEffect_pThre	sex.group	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_all-sexes	everDrug1	Ever used cocaine	S1	allSexes	-0.0136601	0.105051287385062	0.00130344031624067	0.00842444	-0.0141852	0.107812364880964	0.00130256795446773	0.00881762	0.00541141	0.537558986883569	0.000194142426991942	0.00877619	-0.00517396	0.547925518973682	0.0001831714194036	0.00860948	0.0116134	0.176401327794643	0.000934719019601302	0.00858766	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_females-only	everDrug1	Ever used cocaine	S1	females	-0.014315	0.152449261831008	0.00175854345171158	0.00999818	-0.0122293	0.245290786549225	0.00118205999180963	0.0105209	0.00732102	0.471709936484983	0.000463824520533796	0.0101694	-0.0128022	0.218664568954279	0.00132877273819364	0.0104026	0.0106776	0.288351602149974	0.00100612280026046	0.0100526	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_males-only	everDrug1	Ever used cocaine	S1	males	-0.014315	0.152449261831008	0.0011917675240615	0.00999818	-0.0122293	0.245290786549225	0.000813201783793241	0.0105209	0.00732102	0.471709936484983	0.000271768422898827	0.0101694	-0.0128022	0.218664568954279	0.000978895070588411	0.0104026	0.0106776	0.288351602149974	0.000627425984579745	0.0100526	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_all-sexes	everDrug1	Ever used cocaine	S2	allSexes	0.00399275	0.641664036600475	0.000109015888736156	0.00857853	-0.0135791	0.12187174385887	0.00119369184931112	0.00877465	0.00762919	0.382255044902309	0.000383118290503721	0.00872988	-0.0117521	0.18035612625713	0.000918491395447731	0.00876978	0.0137522	0.106596461978142	0.00133243374483012	0.0085189	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_females-only	everDrug1	Ever used cocaine	S2	females	-0.00129623	0.897669045236463	1.46056518073188e-05	0.0100771	-0.00963663	0.359339256684384	0.000723370774141322	0.0105095	0.0162857	0.108515516770527	0.00222902670292976	0.0101406	-0.00392633	0.706052102245464	0.000125538134470813	0.0104079	0.0113202	0.258107651292818	0.00113144258729058	0.0100058	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_males-only	everDrug1	Ever used cocaine	S2	males	-0.00129623	0.897669045236463	9.14142590257468e-06	0.0100771	-0.00963663	0.359339256684384	0.000513722089303212	0.0105095	0.0162857	0.108515516770527	0.00138091483108568	0.0101406	-0.00392633	0.706052102245464	8.58607081676712e-05	0.0104079	0.0113202	0.258107651292818	0.000732919607826137	0.0100058	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_all-sexes	everDrug1	Ever used cocaine	S3	allSexes	0.00207663	0.808731088710911	2.89490337154064e-05	0.00857788	-0.0170817	0.0517509121546438	0.00190013660416575	0.00877688	0.0178626	0.0405482444498128	0.00211615005482889	0.00871652	-0.00505703	0.567821954794368	0.00016768844399447	0.0088511	0.0252713	0.00321673793459573	0.00440186066096772	0.00856845	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_females-only	everDrug1	Ever used cocaine	S3	females	0.0033642	0.739331335160237	9.45317156691437e-05	0.0101085	-0.0116778	0.2638501108796	0.00109240012818535	0.010447	0.0165486	0.112011614620057	0.00219742027483798	0.0104061	-0.0133513	0.200839104886347	0.00147585700352643	0.0104323	0.0224855	0.0245952300118528	0.00436093259046609	0.0099923	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_males-only	everDrug1	Ever used cocaine	S3	males	0.0033642	0.739331335160237	6.22327366902322e-05	0.0101085	-0.0116778	0.2638501108796	0.000732021178731466	0.010447	0.0165486	0.112011614620057	0.00154468989583427	0.0104061	-0.0133513	0.200839104886347	0.00093897889601192	0.0104323	0.0224855	0.0245952300118528	0.00282213019151936	0.0099923	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_all-sexes	everDrug1	Ever used cocaine	S4	allSexes	-0.00794449	0.375937557552162	0.000397247820457026	0.00897096	-0.015532	0.0780248541188152	0.00159840760801567	0.00880972	0.0288427	0.000829053428824945	0.00562061405408711	0.00861657	0.00632787	0.496355572258683	0.000241202118836813	0.00930099	0.0259553	0.00321404178859759	0.00437402109943751	0.00879959	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_females-only	everDrug1	Ever used cocaine	S4	females	0.0040039	0.696115438914653	0.000134502942870954	0.0102492	-0.00556815	0.591826373972623	0.000264671947679763	0.0103821	0.0180353	0.0798123986413573	0.00264773179233953	0.0102875	-0.018341	0.0951315143479119	0.00250017341163521	0.0109818	0.0317252	0.00181369023937473	0.0083454589580074	0.0101504	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_males-only	everDrug1	Ever used cocaine	S4	males	0.0040039	0.696115438914653	7.44672818502357e-05	0.0102492	-0.00556815	0.591826373972623	0.00016008370285229	0.0103821	0.0180353	0.0798123986413573	0.00187561001651237	0.0102875	-0.018341	0.0951315143479119	0.0016721297455512	0.0109818	0.0317252	0.00181369023937473	0.00512247480564	0.0101504	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_all-sexes	everDrug1	Ever used cocaine	S5	allSexes	-0.0188077	0.036808844529213	0.00223214062243756	0.00900278	-0.00595603	0.499518376781498	0.000235207864991777	0.00881911	0.0278479	0.00143153880009686	0.00507140297468779	0.008724	0.0013305	0.889880122971237	1.02854484593256e-05	0.00960849	0.0286191	0.0010181869248123	0.00540396145907723	0.00869965	0.000714285714285714
phenoGroup2_everDrug1to10-CUD_sex-PRS-interact-exclu_females-only	everDrug1	Ever used cocaine	S5	females	-0.0114468	0.259878209637247	0.00111789761390823	0.0101554	-0.00569077	0.584889706076569	0.00026958754884087	0.0104152	0.0198467	0.055526797020388	0.00318481001412843	0.0103561	-0.0287629	0.0126877773638336	0.00563990125964146	0.0115244	0.0338534	0.000965088407600128	0.00949822183137717	0.0102339	0.000714285714285714
