target_pheno_group	phenotype	var.label	name_fixEffect_pThre	sex.group	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q2_recode	Smoking initiation	S1	allSexes	-0.00940349	0.135537576093867	0.000361735974586613	0.00629933	0.000241334	0.969611329197596	2.40074173976647e-07	0.00633472	0.00174795	0.776023446635004	1.29308114796973e-05	0.00614361	0.00266485	0.668281315347089	2.93672120725236e-05	0.00621866	0.0255017	3.8468780939381e-05	0.00270100873780293	0.00619133	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q2_recode	Smoking initiation	S1	females	-0.0161143	0.051600682465655	0.00106227376692901	0.00827657	-0.00122358	0.882102317525247	6.17125028283733e-06	0.00824997	0.00961197	0.229399023984329	0.000391014247678183	0.00799615	0.000443247	0.95702157451166	8.12472728866714e-07	0.00822433	0.0301844	0.000208816817644202	0.00378401473749577	0.00813332	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q2_recode	Smoking initiation	S1	males	-0.0038557	0.668160926644851	6.08163061092278e-05	0.00899364	0.000582971	0.948652488222084	1.40088447831594e-06	0.00905175	-0.00435494	0.629386980398855	8.02660924387566e-05	0.00902321	0.00890423	0.31827248477229	0.00032787622164279	0.00892052	0.0225549	0.0104488242051279	0.00211285423436917	0.00880307	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q2_recode	Smoking initiation	S2	allSexes	-0.0115021	0.0667101849343321	0.000531371343724776	0.00627198	0.00288212	0.646338248456671	3.41111979242273e-05	0.00628086	0.0134429	0.0308017759955814	0.000763427300563026	0.00622348	0.00531107	0.39235742902401	0.000116624169425412	0.00620888	0.053646	5.82669822604891e-18	0.0118597944695295	0.00619643	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q2_recode	Smoking initiation	S2	females	-0.0203663	0.013834911010028	0.00166597363826982	0.00827056	0.00242385	0.768407186428647	2.41259449782781e-05	0.00823103	0.0193965	0.0173431706094761	0.00158938273850783	0.00814894	0.00165485	0.840305110836988	1.1322485715651e-05	0.00821204	0.0571511	2.5536624400357e-12	0.0134602045507565	0.00814096	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q2_recode	Smoking initiation	S2	males	0.000210757	0.98118729053587	1.78405347448426e-07	0.00893708	0.00174587	0.845020417810747	1.25168964032293e-05	0.00893064	0.00593157	0.511169739937683	0.000148634994194186	0.00902699	0.0112044	0.210298661857237	0.000519041068912849	0.00894204	0.0532125	1.90398585603615e-09	0.0116688967907448	0.00883388	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q2_recode	Smoking initiation	S3	allSexes	-0.0256013	3.08172989978145e-05	0.00269929642358098	0.00613958	0.00820941	0.186422910015039	0.000276900350579399	0.00621287	0.0195495	0.00169088667450632	0.00158416919254639	0.0062242	0.00928803	0.143737966643595	0.000355304623314701	0.00635225	0.0775078	4.7357043132962e-36	0.0245451764999308	0.00615039	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q2_recode	Smoking initiation	S3	females	-0.0289272	0.000389009224910987	0.00344619095544095	0.00814814	0.00472693	0.563905439633627	9.18032286943462e-05	0.00819092	0.019949	0.0139306848040138	0.0016495767063325	0.00810926	0.0111712	0.179210099447936	0.00051398837193036	0.00831559	0.0782088	2.4254824792657e-22	0.0249911697336716	0.00800091	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_males-only	GSCAN_Q2_recode	Smoking initiation	S3	males	-0.0210715	0.0177829205141114	0.0018285946580301	0.00888581	0.00869719	0.32535612205378	0.000310783196471928	0.00884161	0.0157963	0.081634910151999	0.00103428684506725	0.00906874	0.00656435	0.475805071460649	0.000177474964259558	0.0092047	0.0792795	1.12577257576558e-18	0.0256801256551942	0.00892999	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_all-sexes	GSCAN_Q2_recode	Smoking initiation	S4	allSexes	-0.0265474	1.51569325676464e-05	0.00292280635684194	0.00613214	0.0148209	0.0179007028901775	0.000900033874125244	0.00625834	0.0238833	0.00013676456114467	0.00235767805130931	0.00625887	0.0101234	0.127652576752842	0.00043289336631116	0.00664443	0.0823624	8.2717237541379e-41	0.028069634101538	0.00612048	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-exclu_females-only	GSCAN_Q2_recode	Smoking initiation	S4	females	-0.024635	0.00239037791859043	0.00251687234798152	0.00810724	0.00702231	0.394509305093149	0.000202055043826493	0.00824649	0.0234144	0.00398098586113866	0.00226601040344602	0.00812667	0.0110816	0.199293657988109	0.000518720098956506	0.00863215	0.0821366	3.07529235995592e-24	0.0279159368983582	0.00803883	0.000714285714285714
