target_pheno_group	phenotype	var.label	name_fixEffect_pThre	name_fix_eff2	ai_fix_eff_esti	ai_pvalue2sided	ai_R2	ai_SE	cpd_fix_eff_esti	cpd_pvalue2sided	cpd_R2	cpd_SE	dpw_fix_eff_esti	dpw_pvalue2sided	dpw_R2	dpw_SE	sc_fix_eff_esti	sc_pvalue2sided	sc_R2	sc_SE	si_fix_eff_esti	si_pvalue2sided	si_R2	si_SE	signi.thres.T4
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S1	PRS	0.00280453	0.879108717927235	3.21761255121615e-05	0.0184382	0.00248011	0.893260632729624	2.53542231179415e-05	0.0184829	-0.00705476	0.697608406125255	0.000210635834059221	0.0181559	0.0168552	0.361522970779953	0.00117485698435614	0.018471	0.0139055	0.439693950380499	0.000803083943827122	0.0179948	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S1	sexPRS	-0.00775391	0.481073063983184	0.000679321711452259	0.0110045	-0.00141319	0.897411736450783	2.28373762687301e-05	0.0109604	0.00552021	0.60640170691556	0.000352799316673432	0.0107139	-0.00900934	0.414620650979899	0.0009272633960503	0.0110431	0.0073688	0.492525068431115	0.000622120836013393	0.0107365	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S2	PRS	0.0104691	0.570630443666497	0.000440212679966775	0.0184592	-0.00154944	0.932543085666012	9.85876194150167e-06	0.0183044	0.00499363	0.785235355998752	0.00010534513192931	0.0183244	0.027296	0.140068644660388	0.00308050935383202	0.0184971	0.0489218	0.00685472732727171	0.00986296127383379	0.0180886	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S2	sexPRS	-0.0139857	0.205705741598722	0.00214950221342852	0.0110509	0.00281102	0.796603341584594	8.96072260943036e-05	0.0109058	0.00533132	0.62396817647601	0.000327477997610814	0.0108746	-0.0139427	0.207148143714155	0.00223518344256548	0.011052	0.00299909	0.781010212431413	0.000101936988367852	0.0107876	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S3	PRS	-0.00671134	0.714686353071195	0.000185500473990617	0.0183579	0.015331	0.398893630590795	0.00096569632971395	0.0181723	0.0277666	0.132916169112098	0.00319577108200947	0.0184758	0.0142185	0.444058280610233	0.000832647542014489	0.0185766	0.0878286	1.6072219816404e-06	0.0315171732961982	0.0182929	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S3	sexPRS	-0.0120046	0.27495425134052	0.00163212324157763	0.0109952	-0.0045279	0.676674163225799	0.000233253657955744	0.0108577	-0.00516796	0.636655064733646	0.000304949496014144	0.0109398	-0.00310694	0.777620703062676	0.000110229981054002	0.0110007	-0.00648782	0.54910289242028	0.000474641822068364	0.0108287	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S4	PRS	-0.0340772	0.0584885690847089	0.00481597099260916	0.0180083	0.0425172	0.0208898863484689	0.00740694318011741	0.0184021	0.0336968	0.0712358046270109	0.00469324421221259	0.0186766	0.0170713	0.357696438016619	0.0012310092749992	0.0185594	0.0935983	1.93408776392709e-07	0.0362505572188388	0.0179637	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S4	sexPRS	0.0047898	0.6565506137228	0.000261599385789301	0.0107709	-0.0175812	0.109551619631103	0.00350443477925159	0.0109855	-0.00615286	0.577008406691214	0.000433517188496102	0.0110309	-0.00437221	0.688478398815822	0.000222892793729088	0.010905	-0.00712209	0.505847948432995	0.000571888269589854	0.0107043	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S5	PRS	-0.049469	0.00681480254325559	0.0101206731046542	0.0182778	0.038669	0.0332682434622762	0.00615191623784645	0.0181611	0.04208	0.0235052498233806	0.00730453488023126	0.0185736	0.0194074	0.292459030704144	0.00160932974828817	0.0184338	0.108944	2.16897169895448e-09	0.0485266073942557	0.0181818	0.000714285714285714
phenoGroup4_GSCAN-phenotypes_sex-PRS-interact-inclu	GSCAN_Q2_recode	Smoking initiation	S5	sexPRS	0.0105693	0.330976507325503	0.00127079048068613	0.0108714	-0.0164156	0.131955365266568	0.00304662277860666	0.0108958	-0.0129639	0.237535087674824	0.00192287338314935	0.0109746	-0.0118391	0.27145990354574	0.00164556276472989	0.0107649	-0.0124063	0.252901889838065	0.00172303556306435	0.0108502	0.000714285714285714
