trait1.consortium	trait1.name	trait1.substance	trait1.type	trait2.consortium	trait2.name	trait2.substance	trait2.type	rG.esti	rG.SE	rG.Z.score	rG.p.value	signi.threshold	p.value.divided.by.signi.thres.BC	significant_or_not
UKB	ESDPW	alcohol	continuous	UKB	PYOS	tobacco	continuous	0.2224	0.0279	7.9812	1.4486e-15	0.00333333333333333	4.3458e-13	yes
UKB	CPD	tobacco	continuous	UKB	PYOS	tobacco	continuous	0.5342	0.0766	6.9767	3.0221e-12	0.00333333333333333	9.0663e-10	yes
UKB	CPD	tobacco	continuous	UKB	ESDPW	alcohol	continuous	0.0251	0.0683	0.3675	0.7133	0.00333333333333333	213.99	no
UKB	caffeine	caffeine	continuous	UKB	PYOS	tobacco	continuous	0.3826	0.0501	7.6388	2.1923e-14	0.00333333333333333	6.5769e-12	yes
UKB	caffeine	caffeine	continuous	UKB	ESDPW	alcohol	continuous	0.1571	0.0414	3.799	1e-04	0.00333333333333333	0.03	yes
UKB	caffeine	caffeine	continuous	UKB	CPD	tobacco	continuous	0.4749	0.0939	5.0585	4.2263e-07	0.00333333333333333	0.000126789	yes
ICC	CI	cannabis	binary	UKB	PYOS	tobacco	continuous	0.392	0.0348	11.2805	1.6388e-29	0.00333333333333333	4.9164e-27	yes
ICC	CI	cannabis	binary	UKB	ESDPW	alcohol	continuous	0.3823	0.0352	10.8719	1.5691e-27	0.00333333333333333	4.7073e-25	yes
ICC	CI	cannabis	binary	UKB	CPD	tobacco	continuous	-0.2254	0.0766	-2.9431	0.0032	0.00333333333333333	0.96	yes
ICC	CI	cannabis	binary	UKB	caffeine	caffeine	continuous	-0.0171	0.0455	-0.3753	0.7074	0.00333333333333333	212.22	no
GSCAN	SI	tobacco	binary	UKB	PYOS	tobacco	continuous	0.8743	0.0305	28.6584	1.2612e-180	0.00333333333333333	3.7836e-178	yes
GSCAN	SI	tobacco	binary	UKB	ESDPW	alcohol	continuous	0.2695	0.0276	9.7595	1.6799e-22	0.00333333333333333	5.0397e-20	yes
GSCAN	SI	tobacco	binary	UKB	CPD	tobacco	continuous	0.153	0.0739	2.069	0.0385	0.00333333333333333	11.55	no
GSCAN	SI	tobacco	binary	UKB	caffeine	caffeine	continuous	0.2804	0.0393	7.1362	9.5919e-13	0.00333333333333333	2.87757e-10	yes
GSCAN	SI	tobacco	binary	ICC	CI	cannabis	binary	0.4018	0.033	12.165	4.7739e-34	0.00333333333333333	1.43217e-31	yes
GSCAN	SC	tobacco	binary	UKB	PYOS	tobacco	continuous	0.4616	0.0449	10.2844	8.284e-25	0.00333333333333333	2.4852e-22	yes
GSCAN	SC	tobacco	binary	UKB	ESDPW	alcohol	continuous	0.1118	0.0431	2.5922	0.0095	0.00333333333333333	2.85	no
