row_num	depVarGroup	depVar1	depVar2	depVar3	depVar4	sectionHeading	modelNumber	base	comparison	df	minus2LL	AIC	diffdf	diffLL	p
1	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	1	Cholesky ACE		6,354	26388	13680			
2	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	2	Cholesky ACE	Cholesky AE	6,364	26389	13661	10	0.94	0.9999
3	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	3	Cholesky ACE	Cholesky CE	6,364	26418	13690	10	30.04	0.0008
4	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	4	Cholesky ACE	Cholesky E	6,374	26536	13788	20	148.11	<.0001
5	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	5	Cholesky ACE	IP	6,360	26391	13671	6	3.51	0.7422
6	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	6	Cholesky ACE	IP2A	6,358	26390	13674	4	1.75	0.7818
7	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	7	Cholesky ACE	IP3A	6,356	26391	13679	2	3.44	0.1795
8	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	8	Cholesky ACE	CP	6,366	26397	13665	12	9.34	0.6737
9	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	9	IP		6,360	26391	13671			
10	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	10	IP	IP_CE_ACE	6,364	26402	13674	4	10.93	0.0274
11	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	11	IP	IP_AE_ACE	6,364	26393	13665	4	1.56	0.8151
12	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	12	IP	IP_AC_ACE	6,364	26514	13786	4	122.94	<.0001
13	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	13	IP	IP_E_ACE	6,368	26423	13687	8	31.32	0.0001
14	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	14	IP	IP_ACE_CE	6,364	26408	13680	4	16.31	0.0026
15	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	15	IP	IP_ACE_AE	6,364	26391	13663	4	-0.00	1.0000
16	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	16	IP	IP_ACE_E	6,368	26420	13684	8	29.08	0.0003
17	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	17	IP	IP_AE_AE	6,368	26393	13657	8	1.56	0.9916
18	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	18	IP_ACE_AE		6,364	26391	13663			
19	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	19	IP_ACE_AE	IP_AE_AE	6,368	26393	13657	4	1.56	0.8151
20	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	20	IP2A		6,358	26390	13674			
21	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	21	IP2A	IP2A_CE_ACE	6,364	26402	13674	6	12.69	0.0482
22	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	22	IP2A	IP2A_AE_ACE	6,362	26391	13667	4	1.10	0.8946
23	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	23	IP2A	IP2A_AC_ACE	6,362	26520	13796	4	130.67	<.0001
24	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	24	IP2A	IP2A_E_ACE	6,368	26423	13687	10	33.08	0.0003
25	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	25	IP2A	IP2A_ACE_CE	6,362	26393	13669	4	3.04	0.5511
26	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	26	IP2A	IP2A_ACE_AE	6,362	26390	13666	4	-0.00	1.0000
27	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	27	IP2A	IP2A_ACE_E	6,366	26393	13661	8	3.58	0.8931
28	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	28	IP2A	IP2A_AE_AE	6,366	26391	13659	8	1.10	0.9976
29	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	29	IP2A_ACE_AE		6,362	26390	13666			
30	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	30	IP2A_ACE_AE	IP2A_AE_AE	6,366	26391	13659	4	1.10	0.8946
31	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	31	Cholesky AE		6,364	26389	13661			
32	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	32	Cholesky AE	CP	6,366	26397	13665	2	8.40	0.0150
33	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	33	Cholesky AE	IP_AE_AE	6,368	26393	13657	4	4.14	0.3872
34	1	PSYCH6r	SOMA6r	ADr	SUr	phenotypes : PSYCH6r, SOMA6r, ADr, and SUr	34	Cholesky AE	IP2A_AE_AE	6,366	26391	13659	2	1.91	0.3848
