""" study_code """,""" manuscript_section """,""" item_order """,""" text """
"""chapter2""","""tableSuppTitle""","""1""","""^{style [fontweight=bold]Table S2-1. Number of complete MZ and DZ twin pairs whose twin members are cases (1) or controls (0) for each of the binary psychiatric diagnoses of affective disorders (AD) or substance use (SU).} (0,0) means both twin 1 and twin 2 are controls. (0,1) means twin 1 is a control and twin 2 is a case. (1,0) means twin 1 is a case and twin 2 is a control. (1,1) means both twins are cases."" "
"""chapter2""","""tableSuppTitle""","""2""","""^{style [fontweight=bold]Table S2-2. Tests concerning thresholds (t) and covariances (c) for binary diagnoses in affective disorders (AD) or substance use (SU).} The tests compare the fit between the base model and a submodel (H1t- H4c). Modelling results shown are the difference in log-likelihoods. Superscript a indicates p value between 0.001 and 0.01. Superscript b indicates p value < 0.001. NC: not calculable."""
"""chapter2""","""tableSuppTitle""","""3""","""^{style [fontweight=bold]Table S2-3. Tests concerning means (m), variances (v) and covariances (c) for affective disorder IRT (AD-IRT), psychological (PSYCH6) and somatic distress (SOMA6) subscale, and substance use IRT (SU-IRT).} The tests compare the fit between the base model and a submodel (H1m- H4c). Modelling results shown are the difference in log-likelihoods. Superscript a indicates p value between 0.001 and 0.01. Superscript b indicates p value < 0.001."""
"""chapter2""","""tableSuppTitle""","""4""","""^{style [fontweight=bold]Table S2-4. Model-fitting results for univariate ACE or ADE models for diagnoses in affective disorders (AD), substance use (SU), psychological (PSYCH6) and somatic distress (SOMA6) subscale.} The univariate ADE models and their nested sub-models are shown in blue. Model-fitting statistics are (1) -2LL: twice negative log-likelihood, (2) DF: degrees of freedom, (3) diff DF: difference in degrees of freedom to previous submodel, (4) diffLL: difference in log-likelihood, (5) AIC: Akaike's information criterion, (6) p: p value, (7) CI: confidence interval, (8) A: additive genetic factors, (9) C: common environmental factors, (10) E: unique environmental factors."""
"""chapter2""","""tableSuppTitle""","""5""","""^{style [fontweight=bold]Table S2-5. Model-fitting results for multivariate models of (1) psychological (PSYCH6r) and (2) somatic (SOMA6-r) distress subscales of the SPHERE12 and (3) affective disorders (ADr) and (4) substance use (SUr) scales.} The models included the Cholesky decomposition (Cholesky ACE) and its submodels (Cholesky AE, Cholesky CE and Cholesky E), Independent pathway (IP), IP with 2 common A factors (IP2A), IP with 3 common A factors (IP3A), common pathway (CP), and eight submodels of the IP. Model-fitting statistics are (1) -2LL: twice negative log-likelihood, (2) DF: degrees of freedom, (3) diff DF: difference in degrees of freedom to previous submodel. Best-fitting models (in boldface type) are selected based on AIC."""
"""chapter3""","""tableSuppTitle""","""1""","""^{style [fontweight=bold]Table S3-1. Number of SNPs with p values lower than a p value threshold in the GSCAN GWAS files on which quality control was performed (QC) and number of SNPs that were selected by LD-based clumping (LD, blue) according to eight significance thresholds.} The SNP numbers are shown for each autosome (1-22) and summed (Total). The discovery sample phenotypes are SI (smoking initiation), AI (age of initiation of regular smoking), CPD (number of cigarettes per day), SC (smoking cessation) and DPW (drinks per day)."""
"""chapter3""","""tableSuppTitle""","""2""","""^{style [fontweight=bold]Table S3-2. Number of phenotype-PRS associations with observed p values lower than various significance thresholds (T1- T5) in females (F), males (M) or both sexes (F+M).} PRS for SI (smoking initiation), AI (age of initiation of regular smoking), CPD (number of cigarettes per day), SC (smoking cessation) and DPW (drinks per week). The significance threshold was (1) p < 1 (T1), (2) nominal p< 0.05 (T2), (3) p< T3 with the adjustment for number of independent target phenotypes, (4) p< T4 with the adjustment for number of both independent target phenotypes and discovery traits, and (5) p< T5 with the adjustment by Bonferroni procedure. T3 is 3.607512e-03 for females, 3.622416e-03 for males, and 3.633203e-03 for both sexes. T4 is 7.142857e-04 for all the sex groups. T5 is 5.681818e-05 for all the sex groups."""
"""chapter3""","""tableSuppTitle""","""3""","""^{style [fontweight=bold]Table S3-3. Effect estimates (Beta, SE, two-sided p value, and R^{unicode 00B2} as percentage) of polygenic risk scores on target phenotypes related to initiation of illicit substance, alcohol-related disorders, and cannabis-related disorders for females (F), males (M), and both sexes (F+M).} PRS was calculated for five discovery phenotypes smoking initiation (SI), age of initiation of regular smoking (AI), number of cigarettes per day (CPD), smoking cessation (SC) and drinks per week (DPW) at eight p value thresholds (PT): 5e-08 (S1), 1e-05 (S2), 1e-03 (S3), 1e-02 (S4), 5e-02 (S5), 1e-01 (S6), 5e-01 (S7), and 1 (S8). Associations that survive multiple testing are presented in bold-face blue. The corrected significance threshold is 7.14e-4."""
"""chapter3""","""tableSuppTitle""","""4""","""^{style [fontweight=bold]Table S3-4. Phenotypic correlation between illicit substance use or substance use disorders and polygenic risk scores (PRS) for licit substance use in females, males or both sexes (F+M).} PRS was calculated for five discovery phenotypes smoking initiation (SI), age of initiation of regular smoking (AI), number of cigarettes per day (CPD), smoking cessation (SC) and drinks per week (DPW) at eight p value thresholds (PT): 5e-08, 1e-05 , 1e-03, 1e-02, 5e-02, 1e-01, 5e-01, and 1."""
"""chapter4""","""tableSuppTitle""","""1""","""^{style [fontweight=bold]Table S4-1. Number of phenotype-PRS associations with observed p values lower than various significance thresholds (T1- T5).} Modelling in these associations contained a sex*PRS interaction term. PRS for SI (smoking initiation), AI (age of initiation of regular smoking), CPD (number of cigarettes per day), SC (smoking cessation) and DPW (drinks per week). The significance threshold was (1) p < 1 (T1), (2) nominal p< 0.05 (T2), (3) p< T3 with the adjustment for number of independent target phenotypes, (4) p< T4 with the adjustment for number of both independent target phenotypes and discovery traits, and (5) p< T5 with the adjustment by Bonferroni procedure. T3, T4 and T5 are 3.657103e-03, 7.142857e-04, and 8.333333e-05 respectively."""
